"name","gdp"
"Austria",417900
"Belgium",507400
"Bulgaria",53700
"Croatia",59140
"Cyprus",21780
"Czech Republic",194800
"Denmark",324300
"Estonia",24280
"Finland",259600
"France",2739000
"Germany",3593000
"Greece",243300
"Hungary",130600
"Iceland",14590
"Ireland",220900
"Italy",2068000
"Latvia",30380
"Lithuania",46710
"Luxembourg",60540
"Malta",9541
"Montenegro",4518
"Netherlands",722300
"North Macedonia",10650
"Poland",513900
"Portugal",219300
"Romania",188900
"Serbia",43680
"Slovakia",96960
"Slovenia",46820
"Spain",1356000
"Sweden",552000
"Turkey",821800
"United Kingdom",2490000
