"name","count"
"Bangladesh",61
"Mayotte",1
"Venezuela",53
"Luxembourg",61
"Czech Republic",59
"Sweden",73
"Dominican Republic",53
"Saint Helena",1
"Ireland",51
"Cambodia",47
"Singapore",45
"San Marino",26
"Laos",38
"Portugal",68
"Malta",50
"Colombia",57
"Albania",49
"Ukraine",64
"Saudi Arabia",54
"Sao Tome and Principe",39
"Cote d'Ivoire",51
"Latvia",52
"North Korea",26
"Algeria",57
"Cape Verde",42
"Slovakia",62
"Maldives",39
"Israel",45
"Malaysia",58
"Kenya",55
"Zambia",48
"Kuwait",52
"Bosnia and Herzegovina",50
"Liberia",41
"Benin",55
"Cyprus",54
"Nigeria",66
"Tajikistan",51
"Guam",5
"China",69
"New Caledonia",5
"Armenia",48
"Qatar",52
"Congo, Dem.Rep.",50
"Gabon",46
"Martinique",2
"Australia",68
"Dominica",41
"Serbia",59
"British Virgin Islands",7
"Libya",50
"Reunion",2
"Vanuatu",41
"Wallis and Futuna",3
"Congo",45
"United Arab Emirates",50
"Georgia",49
"Belgium",73
"Guernsey",1
"Monaco",28
"Curacao",9
"Solomon Islands",31
"Montserrat",5
"Thailand",56
"El Salvador",53
"Uruguay",54
"United Kingdom",77
"Germany",79
"Eritrea",38
"Canada",76
"Barbados",43
"Saint Vincent and the Grenadines",37
"Marshall Islands",28
"Namibia",47
"Cook Islands",20
"Slovenia",58
"Azerbaijan",54
"Greece",66
"Egypt",65
"Afghanistan",45
"Chad",45
"Timor-Leste",39
"Chile",60
"Saint Kitts and Nevis",36
"Norfolk Island",1
"Suriname",46
"South Africa",57
"Peru",63
"Isle of Man",1
"Kazakhstan",51
"Kosovo",7
"Japan",77
"Macao",10
"Jamaica",45
"Pitcairn",2
"Iraq",47
"New Zealand",62
"Ecuador",57
"Russia",74
"Norway",69
"Pakistan",63
"Brazil",70
"Guatemala",57
"Bolivia",53
"Ethiopia",48
"Panama",50
"Yemen",52
"South Sudan",22
"Tunisia",59
"Sudan",50
"Mali",47
"North Macedonia",48
"Morocco",55
"Moldova",51
"Myanmar",41
"Mexico",67
"Guyana",46
"Poland",67
"French Guiana",2
"Lebanon",48
"Turks and Caicos Islands",4
"Virgin Islands",3
"Indonesia",60
"Kiribati",29
"Cameroon",54
"Montenegro",50
"Uganda",53
"Jordan",57
"Papua New Guinea",48
"Sri Lanka",58
"American Samoa",6
"Uzbekistan",43
"Brunei",37
"Finland",73
"Cayman Islands",6
"Grenada",37
"Cuba",40
"Tokelau",5
"Kyrgyzstan",51
"France",87
"Djibouti",48
"Syria",44
"Nauru",22
"Ghana",56
"Senegal",57
"Iceland",52
"Hong Kong",15
"Madagascar",47
"Sierra Leone",47
"Philippines",45
"Tuvalu",25
"United States",79
"Guinea",49
"Turkey",68
"Rwanda",48
"Zimbabwe",45
"Comoros",45
"Saint Lucia",42
"Belarus",49
"Netherlands",73
"Lesotho",42
"Paraguay",55
"Mauritius",53
"Angola",41
"Bahrain",47
"Spain",72
"Saint Barthelemy",1
"Saint Pierre and Miquelon",2
"Falkland Islands",1
"Malawi",48
"Burundi",42
"Taiwan",7
"Bhutan",33
"Togo",53
"Niue",12
"Burkina Faso",50
"Faroe Islands",5
"Italy",82
"Oman",43
"Eswatini",41
"Fiji",47
"Palau",26
"Anguilla",5
"South Korea",71
"Sint Maarten",7
"Bermuda",7
"Argentina",66
"Liechtenstein",22
"Bahamas",42
"Puerto Rico",7
"India",71
"Iran",52
"French Polynesia",4
"Micronesia",26
"Gambia",46
"Estonia",58
"Vietnam",44
"Central African Republic",39
"Guadeloupe",2
"Denmark",70
"Trinidad and Tobago",49
"Mongolia",51
"Mauritania",49
"Mozambique",50
"Northern Mariana Islands",2
"Switzerland",69
"Seychelles",42
"Hungary",65
"Honduras",52
"Belize",45
"Botswana",44
"Romania",63
"Austria",71
"Guinea-Bissau",44
"Niger",49
"Vatican City",19
"Lithuania",52
"Western Sahara",1
"Bulgaria",57
"Croatia",63
"Turkmenistan",38
"Aruba",10
"Nicaragua",47
"Tonga",35
"Nepal",52
"Tanzania",53
"Saint Martin",1
"Greenland",2
"Costa Rica",51
"Jersey",1
"Gibraltar",3
"Haiti",49
"Samoa",36
"Equatorial Guinea",37
"Antigua and Barbuda",39
"Andorra",21
"Somalia",41
